Provider ID,Agency Name,Street Address,City,State,Zip Code,Total Episodes (non-LUPA),Distinct Beneficiaries (non-LUPA),Average Number of Total Visits Per Episode (non-LUPA),Average Number of Skilled Nursing Visits Per Episode (non-LUPA),Average Number of PT Visits Per Episode (non-LUPA),Average Number of OT Visits Per Episode (non-LUPA),Average Number of  ST Visits Per Episode (non-LUPA),Average Number of Home Health Aide Visits Per Episode (non-LUPA),Average Number of Medical-Social Visits Per Episode (non-LUPA),Total HHA Charge Amount (non-LUPA),Total HHA Medicare Payment Amount (non-LUPA),Total HHA Medicare Standard Payment Amount (non-LUPA),Outlier Payments as a Percent of Medicare Payment Amount (non-LUPA),Total LUPA Episodes,Total HHA Medicare Payment Amount for LUPAs,Average Age,Male Beneficiaries,Female Beneficiaries,Nondual Beneficiaries,Dual Beneficiaries,White Beneficiaries,Black Beneficiaries,Asian Pacific Islander Beneficiaries,Hispanic Beneficiaries,American Indian or Alaska Native Beneficiaries,Other/ Unknown Beneficiaries,Average HCC Score,Percent of Beneficiaries with Atrial Fibrillation,Percent of Beneficiaries with Alzheimer's,Percent of Beneficiaries with Asthma,Percent of Beneficiaries with Cancer,Percent of Beneficiaries with CHF,Percent of Beneficiaries with Chronic Kidney Disease,Percent of Beneficiaries with COPD,Percent of Beneficiaries with Depression,Percent of Beneficiaries with Diabetes,Percent of Beneficiaries with Hyperlipidemia,Percent of Beneficiaries with Hypertension,Percent of Beneficiaries with IHD,Percent of Beneficiaries with Osteoporosis,Percent of Beneficiaries with RA/OA,Percent of Beneficiaries with Schizophrenia,Percent of Beneficiaries with Stroke
67161,YUMA DISTRICT HOSPITAL HOME HEALTH CARE,1000 WEST 8TH AVENUE,YUMA,CO,80759,67,58,16.6,9.1,2.3,1.4,0,3.9,0,310362,170003,166424,2.6,,,78,15,43,45,13,56,0,0,,0,,1.66,0.2069,0.15517,0.22414,0.10345,0.32759,0.37931,0.22414,0.27586,0.2931,0.41379,,0.34483,0.15517,0.60345,0.01724,0.06897
67168,PIONEERS HOSPITAL HOME HEALTH,575 3RD ST,MEEKER,CO,81641,66,37,21,13.2,0.5,0.3,0,7,0,209221,171891,162076,6.2,,,78,17,20,,,35,0,,,0,0,1.91,0.24324,0.27027,0.43243,0.13514,0.56757,0.43243,0.43243,0.27027,0.40541,0.48649,,0.37838,0.05405,0.56757,0.02703,0
67169,REHABILITATION AND VISITING NURSE ASSOCIATION LLC,2105 CLUBHOUSE DRIVE,GREELEY,CO,80634,268,186,20.9,7.5,4.1,2,0.5,7,0.1,964646,851306,833613,5,56,22192,76,70,116,131,55,164,,0,18,0,,2.54,0.19355,0.26344,0.34946,0.07527,0.47849,0.46774,0.32258,0.44624,0.37097,0.46774,,0.43548,0.16667,0.65054,0.04301,0.11828
67181,ALLIANT HOME HEALTH LLC,12995 SHERIDAN BLVD SUITE 201,BROOMFIELD,CO,80020,387,292,18.7,7.2,6.1,2.9,0.4,2.1,0.2,1093975,1386993,1331409,4.3,43,16973,77,115,177,227,65,246,14,,22,0,,2.16,0.21918,0.39726,0.28082,0.13356,0.31849,0.52397,0.23973,0.43151,0.33219,0.5,,0.38014,0.17808,0.50342,0.08219,0.10959
67191,GUNNISON VALLEY HEALTH HOME MEDICAL SERVICES,120 NORTH BOULEVARD,GUNNISON,CO,81230,111,96,14,6.7,5.4,0.7,0,1,0.1,259925,308190,309245,0.2,12,6293,76,47,49,78,18,92,0,0,,0,,1.24,0.17708,0.1875,0.19792,0.22917,0.30208,0.28125,0.1875,0.1875,0.23958,0.34375,0.67708,0.29167,0.11458,0.61458,0.01042,0.08333
67193,ARGUS HOME CARE INC,807 W 4TH STREET,PUEBLO,CO,81003,48,44,17.4,3.4,8.2,2.1,0,3.8,0,93301,155890,157597,2.4,,,78,12,32,22,22,31,0,0,13,0,0,1.54,0.15909,0.38636,0.5,0.11364,0.38636,0.5,0.52273,0.34091,0.36364,0.59091,,0.40909,0.09091,0.75,0.02273,0.13636
67196,KINDRED AT HOME,2764 COMPASS DRIVE SUITE 108B,GRAND JUNCTION,CO,81506,428,313,20.6,7.9,7.4,3.7,0.1,1.3,0.3,2260001,1499469,1552159,1,24,10787,77,108,205,199,114,289,,,18,,,1.86,0.15974,0.35144,0.33227,0.11182,0.25879,0.41214,0.3099,0.38978,0.3131,0.38658,,0.32907,0.1278,0.50799,0.02875,0.0607
67198,SOUTHEAST COLORADO HOSPITAL HOME HEALTH AGENCY,204 EAST 10TH AVENUE,SPRINGFIELD,CO,81073,87,67,17,6.8,7,2.1,0.7,0.5,0,411963,279640,280777,0.1,,,80,22,45,45,22,58,0,0,,,,1.38,0.22388,0.14925,0.29851,0.1194,0.47761,0.41791,0.29851,0.35821,0.35821,0.43284,,0.50746,0.1791,,0.01493,0.08955
67201,SCL HOME HEALTH,3980 QUEBEC STREET SUITE 100,DENVER,CO,80207,641,577,12.9,4.3,6.6,1.6,0.4,0,0.1,1964340,1971769,1980724,0.1,81,37526,76,233,344,459,118,467,22,,68,,,1.85,0.19584,0.23917,0.31023,0.15425,0.34489,0.46967,0.29289,0.35875,0.32409,0.55113,,0.44887,0.12132,0.5026,0.0312,0.08319
67204,COLORADO PLAINS MEDICAL CENTER HOME CARE,515 E RIVERVIEW AVE,FORT MORGAN,CO,80701,218,194,17.1,5.6,6.4,2.5,0.2,2.3,0.1,794567,706994,708260,0.4,49,22993,79,74,120,153,41,173,0,0,21,0,0,1.71,0.22165,0.25258,0.34021,0.14433,0.3866,0.48969,0.28351,0.32474,0.31443,0.54124,,0.38144,0.20103,0.65464,0.02577,0.1134
67208,GOOD SAMARITAN SOCIETY-COLORADO HOME CARE,2919 WEST 17TH AVE SUITE 101,LONGMONT,CO,80503,234,210,20.2,6.6,7.3,3.8,0.4,1.6,0.6,816877,822779,837923,0.7,20,7906,82,68,142,190,20,195,0,0,,0,,1.83,0.21905,0.27619,0.37143,0.17143,0.41429,0.42381,0.34286,0.35238,0.35714,0.52381,,0.48571,0.2,0.58095,0.01905,0.07619
67215,PREFERRED HOME CARE SERVICES,2802 MADISON SQUARE DRIVE STE 100,LOVELAND,CO,80538,295,186,29.6,16.9,6.3,2.2,0.5,3.8,0,1045858,1129082,1036166,9,34,14860,80,65,121,124,62,175,0,,,0,,1.98,0.16667,0.57527,0.23656,0.09677,0.38172,0.44624,0.22043,0.43548,0.33333,0.48387,,0.33871,0.1828,0.53763,0.09677,0.13978
67219,HOMECARE OF THE VALLEY,1901 GRAND AVENUE STE 206,GLENWOOD SPRINGS,CO,81601,654,381,21.2,6.4,7.3,2.4,0.2,4.4,0.4,4061015,2170697,2167587,0.7,80,32021,79,143,238,301,80,347,,,26,0,,1.85,0.1811,0.29134,0.30709,0.13386,0.32546,0.35958,0.28346,0.3937,0.25459,0.50919,0.71129,0.47244,0.19423,0.62467,0.02625,0.12598
67224,ENCOMPASS HOME HEALTH OF COLORADO,"6021 S SYRACUSE WAY, STE 204",GREENWOOD VILLAGE,CO,80111,2016,1452,18,5.2,8.3,3,1.2,0.3,0.1,8769328,8101278,7954994,2.6,188,78071,78,552,900,1261,191,1264,31,,105,,31,1.87,0.18388,0.35882,0.29545,0.13154,0.29614,0.4511,0.25826,0.47727,0.26997,0.56543,,0.43388,0.18044,0.69353,0.03375,0.09711
67248,AT HOME HEALTHCARE,"177 CRAFT DRIVE, SUITE 100",ALAMOSA,CO,81101,339,261,22.9,6.4,8.5,4.6,0,3.2,0.3,2501947,1320935,1322066,0.4,26,10302,78,96,165,165,96,168,,,87,,,1.87,0.17241,0.29885,0.37931,0.10728,0.37548,0.44061,0.36782,0.2682,0.33333,0.37548,,0.37548,0.1341,0.52107,0.03065,0.09195
67253,INTERIM HEALTHCARE OF FORT COLLINS INC,2000 VERMONT DRIVE #100,FORT COLLINS,CO,80524,108,78,31.2,9.2,4.8,1.6,0.7,14,0.9,395231,391872,360700,9,,,73,23,55,37,41,68,0,,,0,0,2.6,0.20513,0.34615,0.41026,0.14103,0.30769,0.46154,0.4359,0.5,0.44872,0.55128,,0.4359,0.23077,0.5,0.03846,0.14103
67254,AMI - WELLNESS,1385 S COLORADO BLVD STE A306,DENVER,CO,80222,15,12,23.9,14.5,6.1,1.7,0.4,6.1,0,49510,52091,48818,6.2,,,73,,,,,,,0,0,0,0,2.04,0.33333,0.16667,0.25,0.25,0.41667,0.58333,0.16667,,0.33333,0.5,,0.75,0.08333,0.33333,0,0.33333
67255,AT HOME HEALTHCARE,2121 S BLACKHAWK STREET STE 110,AURORA,CO,80014,798,529,22,6.1,8.9,5.1,0.4,1.1,0.5,5887218,3101867,3224322,0.4,56,23362,81,197,332,457,72,469,20,,33,,,2.24,0.20983,0.45369,0.31947,0.14556,0.34594,0.52363,0.29679,0.40832,0.29679,0.53875,,0.45936,0.18336,0.57089,0.03214,0.11342
67267,RANGELY DISTRICT HOSPITAL HOME HEALTH,225 EAGLE CREST DRIVE,RANGELY,CO,81648,23,17,18.7,12.2,5.3,0,0,1.1,0,77467,63803,62536,2.5,,,78,,,,,17,0,0,0,0,0,2.34,0.17647,0.23529,0.29412,0.11765,0.35294,0.47059,0.35294,0.29412,0.47059,0.17647,0.70588,0.29412,0.11765,0.41176,0,0
67272,HUMAN TOUCH HOME HEALTH CARE AGENCY INC GRAND JUNC,2478 PATTERSON RD #10,GRAND JUNCTION,CO,81505,57,35,15.4,8.9,3.8,1,0,1.7,0,130708,148900,152258,2.6,14,6627,75,17,18,18,17,32,0,0,,0,,2.19,0.17143,0.22857,0.25714,0.2,0.31429,0.31429,0.17143,0.17143,0.25714,0.28571,0.51429,0.28571,0.05714,0.22857,0.05714,0.05714
67274,STERLING MEDCARE HOME HEALTH INC,614 S 10TH AVE,STERLING,CO,80751,216,134,19.7,9,3.6,2.9,0.1,4,0,505700,618314,612208,1.5,31,11769,76,70,64,92,42,122,0,0,11,,,2.2,0.19403,0.28358,0.3806,0.14925,0.40299,0.54478,0.38806,0.35821,0.43284,0.56716,,0.58209,0.11194,0.47015,0.04478,0.07463
67275,HUMAN TOUCH HOME HEALTH CARE AGENCY INC,1160 LAKE PLAZA DRIVE SUITE 100,COLORADO SPRINGS,CO,80903,146,75,38.2,13.9,4.6,1.2,0.7,18,0,406658,480524,475540,8.9,17,6970,68,33,42,43,32,53,13,,,0,0,2.52,0.16,0.17333,0.36,0.09333,0.33333,0.53333,0.34667,0.38667,0.44,0.49333,,0.34667,0.05333,0.37333,0.01333,0.12
67277,LINCOLN COMMUNITY HOME HEALTH,111 6TH STREET,HUGO,CO,80821,69,55,13.2,8,2.8,0.9,0,1.4,0,167973,163104,163325,0.5,12,5892,77,19,36,,,53,,0,0,0,,1.77,0.18182,0.16364,0.38182,0.10909,0.34545,0.52727,0.32727,0.29091,0.43636,0.69091,,0.4,0.12727,0.72727,0.03636,0.07273
67279,MOUNTAIN CREEK HOME HEALTH,"601 S ALBERT STREET, SUITE A",WALSENBURG,CO,81089,338,224,19.7,9.6,4.6,0.8,0.3,4.5,0,962485,1000783,981797,2.4,37,14918,76,88,136,131,93,145,,0,76,0,,2,0.16964,0.24107,0.43304,0.125,0.40179,0.47768,0.41964,0.29911,0.36161,0.51786,,0.40179,0.19196,0.58929,0.04464,0.07589
67280,COUNTRY PLAINS HOME HEALTH,208 NORTH MAIN STREET,ROCKY FORD,CO,81067,85,75,19.2,6.1,9.8,1.2,0,2.2,0,255137,296968,299251,0,15,6076,80,28,47,48,27,58,0,0,17,0,0,2.31,0.14667,0.45333,0.48,0.06667,0.4,0.53333,0.49333,0.38667,0.4,0.57333,,0.44,0.32,,0.05333,0.06667
67295,PROWERS MEDICAL CENTER HOME HEALTH,401 KENDALL DRIVE,LAMAR,CO,81052,75,69,14.3,5.3,6.3,0.9,0.6,1.2,0,182512,218692,219802,0,18,10737,77,25,44,41,28,56,0,0,13,0,0,1.66,0.11594,0.2029,0.33333,0.08696,0.36232,0.46377,0.36232,0.30435,0.46377,0.53623,,0.46377,0.14493,0.65217,0.02899,0.07246
67298,COMMUNITY HOSPITAL HOME HEALTH SERVICES,2004 NORTH 12TH STREET,GRAND JUNCTION,CO,81501,170,138,17.6,8,5.4,2.1,0,2,0.1,602507,508359,532542,-0.2,,,80,44,94,108,30,130,,0,,0,,1.98,0.23188,0.27536,0.36232,0.15217,0.34058,0.33333,0.32609,0.23913,0.26812,0.32609,,0.33333,0.19565,0.39855,0,0.05797
67337,INTERIM HEALTHCARE OF PUEBLO,"720 NORTH MAIN ST, #400",PUEBLO,CO,81003,306,243,20.5,6.6,5.8,3.9,0.2,4,0.1,854036,932665,1054190,3.1,46,17181,75,93,150,153,90,179,,0,60,0,,2.13,0.18107,0.30041,0.47325,0.12346,0.35391,0.52675,0.4321,0.45679,0.46091,0.58436,,0.41975,0.23045,0.67078,0.05761,0.13992
67338,COMPLETE HOME HEALTH CARE LLC,805 EAGLERIDGE BLVD STE 160,PUEBLO,CO,81008,363,257,33.6,18.4,6.7,2.7,0.1,5.3,0.4,1398920,1339052,1349978,9,27,10509,75,90,167,152,105,190,16,,44,0,,2.21,0.15564,0.31907,0.36965,0.12062,0.29572,0.5214,0.33852,0.38521,0.47082,0.50584,,0.31128,0.12451,0.56031,0.07004,0.09728
67339,PASCO/SW,45 S WASHINGTON ST,CORTEZ,CO,81321,276,195,16,8.2,6.3,0.4,0.1,1,0,638268,812488,799285,2.2,30,12866,78,79,116,137,58,171,0,0,17,,,1.72,0.13846,0.15897,0.23077,0.10769,0.24615,0.35385,0.21538,0.20513,0.33333,0.35897,0.64615,0.33333,0.12308,0.55385,0.01026,0.09231
67402,SUMMIT HOME HEALTH CARE INC,"1160 LAKE PLAZA DRIVE, SUITE 255",COLORADO SPRINGS,CO,80906,218,157,16.5,8.8,5.2,1.8,0.3,0.3,0.1,414665,594765,638551,1,18,7900,74,66,91,108,49,123,12,,18,0,,1.96,0.17197,0.22293,0.35669,0.09554,0.3121,0.52229,0.3121,0.29299,0.32484,0.54777,,0.36306,0.09554,0.50318,0.03185,0.07006
67403,COLUMBINE HOME HEALTH INC,927 COOPER AVENUE SUITE 1,GLENWOOD SPRINGS,CO,81602,228,163,15.8,7,6.2,0,0,2.4,0.1,524256,659625,659265,0.6,27,11372,78,63,100,131,32,148,,,,,,1.48,0.15951,0.22086,0.27607,0.15337,0.2638,0.3681,0.23926,0.34969,0.2638,0.60736,,0.40491,0.19632,0.69325,0.0184,0.06135
67407,BERKLEY HOME HEALTHCARE,10697 E DARTMOUTH AVENUE,AURORA,CO,80014,1448,1240,12,3.4,6.6,1.4,0.2,0.2,0.2,2723660,4543572,4535439,0.2,156,74956,76,459,781,877,363,871,160,44,141,,,2.16,0.20081,0.26935,0.32823,0.15484,0.34758,0.55242,0.29355,0.40242,0.38065,0.525,,0.44194,0.16855,0.62823,0.03065,0.10484
67408,"MAHDI HOME HEALTH CARE, INC",6850 E EVANS AVE #101,DENVER,CO,80224,22,20,45.8,15.2,6.6,1.3,0,22.8,0,149841,79082,72368,8.3,0,,78,,,,,,,,,0,,1.63,0.15,0.6,0.05,0.05,0.35,0.45,0.1,0.25,0.65,0.7,,0.4,0.05,0.7,0,0.25
67413,MAXIM HEALTHCARE SERVICES INC,3691 PARKER BLVD SUITE 210,PUEBLO,CO,81008,52,32,66.9,8.8,15.4,0,0,42.7,0,354039,229485,247270,7.7,0,,72,11,21,12,20,15,,,15,0,0,2.63,0.09375,0.4375,0.375,0.09375,0.34375,0.53125,0.40625,0.46875,0.34375,0.5,0.71875,0.3125,0.09375,0.59375,0.0625,0.1875
67415,COMPLETE HOME HEALTH CARE LLC,2095 W 6TH AVE SUITE #209,BROOMFIELD,CO,80020,405,258,29.1,12.6,8,1.7,0.6,5.9,0.3,1330193,1639830,1522604,8.5,53,23209,72,100,158,138,120,209,11,,26,0,,2.23,0.15116,0.28295,0.34884,0.14729,0.25969,0.42636,0.30233,0.50775,0.32171,0.4186,0.72481,0.37209,0.12016,0.44961,0.05039,0.08915
67416,"CARING HEARTS II, LLC",6801 WEST 20TH STREET #207,GREELEY,CO,80634,252,175,21.9,9.9,6.9,1.3,1,2.8,0,780278,845232,871114,2.5,19,8426,77,63,112,120,55,145,0,,27,0,,2.27,0.24571,0.31429,0.38857,0.12,0.42286,0.51429,0.34857,0.45714,0.4,0.58857,,0.49714,0.10857,0.57714,0.02857,0.10857
67417,PROFESSIONAL HOME HEALTH CARE INC,1040 SOUTH 8TH STREET #201,COLORADO SPRINGS,CO,80905,17,16,14.7,4.8,7.7,1.8,0.2,0.8,0,55849,53359,54632,0,0,,79,,,,,12,0,0,,0,,2.65,0.125,0.4375,0.375,0.125,0.1875,0.625,0.25,0.375,0.4375,0.4375,,0.4375,0.25,0.625,0,0
67419,ANGELS CARE HOME HEALTH OF PUEBLO,2500 N CIRCLE DRIVE STE 201,COLORADO SPRINGS,CO,80909,204,119,16.7,7.9,6.4,1.6,0.1,0.3,0.3,476673,617293,663336,0.7,14,5658,74,41,78,79,40,85,,,22,,0,2.49,0.17647,0.31933,0.48739,0.16807,0.42017,0.63866,0.41176,0.47899,0.46218,0.55462,,0.44538,0.19328,0.54622,0.06723,0.15966
67420,LIFESPRING HOME CARE,"312 WILCOX STREET, SUITE 204",CASTLE ROCK,CO,80104,136,88,23.1,4.4,8.6,5,0.6,4.6,0,831859,526869,532906,0.8,17,7753,76,43,45,77,11,82,,,0,0,,2.39,0.23864,0.28409,0.29545,0.11364,0.32955,0.60227,0.27273,0.47727,0.36364,0.64773,,0.45455,0.20455,0.64773,0.03409,0.09091
67421,VOLUNTEERS OF AMERICA HOME HEALTH OF WESTERN COLO,300 NORTH CASCADE SUITE T-9,MONTROSE,CO,81401,249,191,20.6,11.1,4.2,1.2,0.1,4.1,0,835773,680609,661181,3.4,17,8908,80,68,123,146,45,173,,0,12,,,1.73,0.20419,0.31414,0.33508,0.14136,0.3089,0.46597,0.3089,0.30366,0.34031,0.37173,,0.35079,0.18325,0.46597,0,0.11518
67434,ANGELS CARE HOME HEALTH OF COLORADO,10800 E BETHANY DRIVE #100,AURORA,CO,80014,1007,525,18.6,8,6.8,2.6,0.5,0.2,0.4,2630033,3260861,3344078,0.3,108,42891,79,186,339,358,167,415,29,,68,,,2.37,0.16571,0.4019,0.34857,0.12381,0.35619,0.53143,0.31238,0.41714,0.38476,0.48381,,0.45143,0.15429,0.61333,0.06095,0.10476
67438,INTERIM HEALTHCARE,333 W HAMPDEN AVENUE #925,ENGLEWOOD,CO,80110,79,47,17.9,9.3,3.3,0.7,0,4.5,0.1,184086,225218,212262,5.7,14,5979,78,20,27,,,32,,,,,,1.92,0.08511,0.25532,0.2766,0.06383,0.19149,0.57447,0.21277,0.19149,0.44681,0.44681,0.65957,0.19149,0.2766,0.38298,0,0.04255
67440,CENTENNIAL HOME CARE LLC,487 YAMPA AVENUE,CRAIG,CO,81625,50,35,22.1,9.6,5.6,2.4,0,4.5,0,158119,150749,150372,0.8,,,77,15,20,,,34,0,0,0,,,1.43,0.22857,0.31429,0.51429,0.17143,0.28571,0.34286,0.54286,0.45714,0.28571,0.28571,0.74286,0.25714,0.17143,0.68571,0.02857,0.08571
67441,"AMAZING CARE HOME HEALTH SERVICES, INC","2821 SOUTH PARKER ROAD, #615",AURORA,CO,80014,235,156,29.6,15.3,6.8,2,0.1,5.2,0.1,838754,913715,843209,9.4,49,18449,73,45,111,82,74,129,11,,11,0,,2.7,0.19872,0.39744,0.36538,0.08974,0.38462,0.55128,0.35897,0.58974,0.4359,0.57692,,0.40385,0.16026,0.50641,0.10256,0.05769
67443,SUPER HEALTH CARE INC,"6795 E TENNESSEE AVE, SUITE 225",DENVER,CO,80224,119,95,30.8,11.6,8,1.3,0.2,10.2,0,457831,464369,431821,7.2,,,80,29,66,,,80,,,0,0,,2.22,0.18947,0.43158,0.28421,0.08421,0.42105,0.46316,0.23158,0.43158,0.55789,0.73684,,0.46316,0.17895,0.66316,0,0.17895
67445,ACCENTCARE HOME HEALTH OF MOUNTAIN VALLEY LLC,2460 WEST 26TH AVE STE 480-C,DENVER,CO,80211,1292,714,16.2,5.3,6.8,3.4,0.5,0.1,0.2,4600548,4651642,4740258,0.1,125,49489,77,270,444,511,203,613,22,,66,,,2.4,0.18768,0.44678,0.31793,0.09664,0.35154,0.53641,0.27731,0.54342,0.33754,0.48179,,0.44538,0.15406,0.60924,0.09664,0.09804
67449,ENCOMPASS HOME HEALTH OF COLORADO,910 PINON RANCH VIEW SUITE 211,COLORADO SPRINGS,CO,80907,2553,1607,22.7,9.8,8.3,2.9,0.9,0.6,0.2,13491061,10114531,10494811,6.5,174,65601,78,571,1036,1262,345,1360,69,17,142,0,19,1.89,0.1705,0.38083,0.35096,0.11886,0.28749,0.48102,0.32483,0.486,0.36839,0.63597,,0.41693,0.20348,0.64343,0.04543,0.10392
67450,ACARIA INC,963 S KIPLING,LAKEWOOD,CO,80226,379,304,11.9,3.3,6.6,0.8,0.3,0.9,0.1,838639,1137381,1136546,0,91,44546,74,105,199,271,33,259,14,,15,,13,1.42,0.125,0.14474,0.20724,0.16776,0.22039,0.38816,0.16776,0.26316,0.25658,0.55592,,0.32566,0.15461,0.73684,0.02961,0.05921
67451,PROFESSIONAL HOME HEALTH CARE INC,1629 HARVARD STREET,LONGMONT,CO,80503,55,44,14.6,3.9,9.4,1.1,0.5,0.1,0,161819,171409,177343,0.1,,,76,21,23,29,15,33,,0,,0,0,1.22,0.18182,0.22727,0.34091,0.13636,0.22727,0.34091,0.31818,0.09091,0.34091,0.47727,,0.29545,0.25,0.5,0.02273,0.13636
67452,HUMAN TOUCH HOME HEALTH CARE AGENCY INC DENVER,8973 E KENYON AVENUE,DENVER,CO,80237,81,58,21.9,9,6.6,2.6,0.4,3.1,0.2,190807,274309,263798,3.8,22,7819,73,18,40,37,21,39,,,,0,,2.7,0.05172,0.32759,0.36207,0.13793,0.25862,0.48276,0.31034,0.41379,0.39655,0.53448,,0.43103,0.10345,0.5,0.06897,0.05172
67453,OPTIMAL HOME CARE INC,"4380 SOUTH SYRACUSE ST, STE 600",DENVER,CO,80237,2737,1613,28,11.1,8.7,4.6,1.3,2,0.3,10955827,12229486,11258474,8.8,208,77490,80,561,1052,1268,345,1438,59,31,71,,,2.14,0.19095,0.54309,0.27092,0.11655,0.33664,0.48419,0.25108,0.48729,0.30564,0.48791,,0.3912,0.17483,0.52697,0.07316,0.11655
67454,COLORADO HEALTH CONNECTIONS INC,2168 SOUTH BIRCH STREET,DENVER,CO,80222,481,370,14.1,7,4.8,0.1,0.1,2,0,1010113,1307050,1272724,3.1,58,27970,75,127,243,294,76,300,14,,44,,,1.74,0.14865,0.14595,0.24054,0.0973,0.24324,0.38649,0.17568,0.28108,0.32703,0.60541,,0.31892,0.10811,0.73514,0.01081,0.07297
67455,PREMIER HOME CARE INC,301 STATE HIGHWAY 24 NORTH,BUENA VISTA,CO,81211,256,107,25.1,6.2,8.5,7.2,0.2,2.9,0.1,972831,1015525,1016650,0.4,27,10415,78,40,67,80,27,99,0,0,,0,,1.78,0.20561,0.37383,0.37383,0.11215,0.34579,0.34579,0.33645,0.29907,0.33645,0.42991,0.71028,0.36449,0.09346,0.46729,0.05607,0.14019
67456,ABC HOME HEALTH CARE INC,2320 NORTH GRAND,PUEBLO,CO,81003,47,40,21.9,7.7,6.4,0.8,0,7.1,0,137720,124217,136604,4.4,15,4853,75,12,28,17,23,23,0,0,17,0,0,2.47,0.125,0.25,0.4,0.2,0.3,0.45,0.4,0.45,0.4,0.6,,0.35,0.075,0.725,0.025,0.025
67457,ALL STATE HOME HEALTH,945 W KENYON AVE STE 200,ENGLEWOOD,CO,80110,148,95,23.6,5.9,10.6,4.2,0.5,2,0.3,467121,631009,615422,2.4,14,5889,72,28,67,44,51,59,22,,,0,,3.06,0.22105,0.35789,0.34737,0.11579,0.41053,0.62105,0.30526,0.51579,0.50526,0.56842,,0.44211,0.12632,0.52632,0.05263,0.12632
67459,COMPASSIONATE HOME HEALTH CARE LLC,11940 QUAY STREET,BROOMFIELD,CO,80020,1465,872,24,10.9,6.7,3.3,1.2,1.6,0.2,5045231,5851582,5591380,5.4,88,37287,84,269,603,765,107,801,11,,38,,11,2.04,0.20298,0.66628,0.25573,0.0906,0.3406,0.4461,0.25115,0.42661,0.28096,0.35321,,0.40826,0.14106,0.52752,0.06193,0.10436
67460,NORTHEAST PLAINS HOME HEALTH CARE LLC,731 WEST MAIN STREET,STERLING,CO,80751,272,161,18.9,9.4,5.5,0.8,0,3.2,0,1047559,774854,769966,1.3,31,12082,78,66,95,119,42,146,0,0,12,,,1.9,0.22981,0.2236,0.32298,0.14286,0.38509,0.44099,0.29193,0.30435,0.43478,0.50932,,0.41615,0.21118,0.50932,0.02484,0.06832
67461,TOUCHSTONE HOME HEALTH LLC,5312 W 9TH STREET DRIVE SUITE 120,GREELEY,CO,80634,105,82,23.5,5.2,8.7,4,0.4,5.2,0,311593,383481,399522,1.5,22,7734,81,27,55,64,18,71,,,,0,,1.89,0.21951,0.29268,0.32927,0.15854,0.31707,0.40244,0.2439,0.29268,0.34146,0.5,0.71951,0.45122,0.18293,0.52439,0,0.09756
67462,ENCOMPASS HOME HEALTH OF COLORADO,910 PINON RANCH VIEW SUITE 210,COLORADO SPRINGS,CO,80907,84,74,14.2,1.5,10.4,1.8,0.4,0.2,0.2,296207,292053,317972,0,,,75,23,51,63,11,63,,,,0,,1.53,0.12162,0.16216,0.32432,0.12162,0.14865,0.35135,0.27027,0.44595,0.40541,0.60811,,0.31081,0.2027,,0,0.06757
67467,ASTRA HEALTH CARE INC,6825 E TENNESSEE AVE #350,DENVER,CO,80224,158,104,38.6,23.5,4.7,1.1,0.1,9,0.1,679991,534543,486070,8.9,16,5710,72,35,69,27,77,61,14,,22,,,2.84,0.17308,0.31731,0.24038,0.13462,0.33654,0.50962,0.17308,0.46154,0.57692,0.43269,,0.34615,0.13462,0.49038,0.06731,0.04808
67468,BRIDGES COMMUNITY HOMECARE OF COLORADO SPRINGS LLC,2950 PROFESSIONAL PLC STE 201,COLORADO SPRINGS,CO,80904,161,134,18.1,6,8,1.6,0.2,1.9,0.4,494132,496620,540129,0.1,22,9608,78,44,90,120,14,118,,0,,0,,1.83,0.23134,0.46269,0.36567,0.17164,0.3209,0.46269,0.31343,0.46269,0.32836,0.58209,,0.42537,0.25373,0.56716,0.02985,0.10448
67469,BROOKDALE HOME HEALTH DENVER,5600 S QUEBEC ST STE 300D,GREENWOOD VILLAGE,CO,80111,1806,1161,20.6,6,8.5,5,1.1,0.1,0.1,6265172,7158727,7291103,0.4,120,46831,87,333,828,1118,43,1100,17,14,19,,,1.89,0.22825,0.68131,0.26012,0.10422,0.35573,0.45909,0.24462,0.49785,0.22653,0.44014,,0.41602,0.28424,0.65289,0.06977,0.13092
67470,GUARDIAN ANGEL HOME HEALTH,925 S BROADWAY #286,CORTEZ,CO,81321,418,236,25.3,11,5.5,1.9,0.2,6.7,0.1,1171824,1361237,1314294,4,20,9071,74,92,144,147,89,197,,,17,17,,2.02,0.16525,0.15678,0.30508,0.07203,0.27119,0.41102,0.26695,0.33051,0.33475,0.37288,,0.38136,0.13136,0.49576,0.0339,0.07203
67471,NAMASTE HOME HEALTH,"6000 E EVANS AVE, BLDG 3 STE 111",DENVER,CO,80222,331,234,17.4,6.6,5.9,2.5,0.3,1.8,0.3,819768,1087053,1083584,0.5,38,14891,73,93,141,132,102,162,22,,36,,,3.11,0.2265,0.36325,0.41026,0.08974,0.39316,0.63248,0.3547,0.52991,0.44872,0.50855,,0.46154,0.16667,0.54701,0.10684,0.12393
